技能範圍,技能分類,技能名稱,技能等級,魔力消耗,技能效果詳細說明,學習資訊
char,戰鬥攻擊技能,連擊,LV 1,10 MP,,
char,戰鬥攻擊技能,連擊,LV 2,15 MP,,
char,戰鬥攻擊技能,連擊,LV 3,20 MP,,
char,戰鬥攻擊技能,連擊,LV 4,25 MP,,
char,戰鬥攻擊技能,連擊,LV 5,30 MP,,
char,戰鬥攻擊技能,連擊,LV 6,35 MP,,
char,戰鬥攻擊技能,連擊,LV 7,40 MP,,
char,戰鬥攻擊技能,連擊,LV 8,45 MP,,
char,戰鬥攻擊技能,連擊,LV 9,50 MP,,
char,戰鬥攻擊技能,連擊,LV 10,55 MP,,
char,戰鬥攻擊技能,連擊,LV 11,60 MP,,
char,戰鬥攻擊技能,連擊,LV 12,65 MP,,
char,戰鬥攻擊技能,連擊,LV 13,70 MP,,
char,戰鬥攻擊技能,連擊,LV 14,75 MP,,
char,戰鬥攻擊技能,連擊,LV 15,80 MP,,
char,戰鬥攻擊技能,諸刃,LV 1,10 MP,減少防禦力和精神力5%，而提升攻擊力7%,
char,戰鬥攻擊技能,諸刃,LV 2,18 MP,減少防禦力和精神力10%，而提升攻擊力14%,
char,戰鬥攻擊技能,諸刃,LV 3,26 MP,減少防禦力和精神力15%，而提升攻擊力21%,
char,戰鬥攻擊技能,諸刃,LV 4,34 MP,減少防禦力和精神力20%，而提升攻擊力28%,
char,戰鬥攻擊技能,諸刃,LV 5,42 MP,減少防禦力和精神力25%，而提升攻擊力35%,
char,戰鬥攻擊技能,諸刃,LV 6,50 MP,減少防禦力和精神力30%，而提升攻擊力42%,
char,戰鬥攻擊技能,諸刃,LV 7,58 MP,減少防禦力和精神力35%，而提升攻擊力49%,
char,戰鬥攻擊技能,諸刃,LV 8,66 MP,減少防禦力和精神力40%，而提升攻擊力56%,
char,戰鬥攻擊技能,諸刃,LV 9,74 MP,減少防禦力和精神力45%，而提升攻擊力63%,
char,戰鬥攻擊技能,諸刃,LV 10,82 MP,減少防禦力和精神力50%，而提升攻擊力70%,
char,戰鬥攻擊技能,諸刃,LV 11,90 MP,減少防禦力和精神力55%，而提升攻擊力77%（推估）,
char,戰鬥攻擊技能,諸刃,LV 12,98 MP,減少防禦力和精神力60%，而提升攻擊力84%（推估）,
char,戰鬥攻擊技能,反擊,LV 1,5 MP,給予物理攻擊0.8倍的傷害,
char,戰鬥攻擊技能,反擊,LV 2,9 MP,給予物理攻擊0.9倍的傷害,
char,戰鬥攻擊技能,反擊,LV 3,13 MP,給予物理攻擊1.0倍的傷害,
char,戰鬥攻擊技能,反擊,LV 4,17 MP,給予物理攻擊1.1倍的傷害,
char,戰鬥攻擊技能,反擊,LV 5,21 MP,給予物理攻擊1.2倍的傷害,
char,戰鬥攻擊技能,反擊,LV 6,25 MP,給予物理攻擊1.3倍的傷害,
char,戰鬥攻擊技能,反擊,LV 7,29 MP,給予物理攻擊1.4倍的傷害,
char,戰鬥攻擊技能,反擊,LV 8,33 MP,給予物理攻擊1.5倍的傷害,
char,戰鬥攻擊技能,反擊,LV 9,37 MP,給予物理攻擊1.6倍的傷害,
char,戰鬥攻擊技能,反擊,LV 10,41 MP,給予物理攻擊1.7倍的傷害,
char,戰鬥攻擊技能,反擊,LV 11,45 MP,給予物理攻擊1.8倍的傷害（推估）,
char,戰鬥攻擊技能,反擊,LV 12,49 MP,給予物理攻擊1.9倍的傷害（推估）,
char,戰鬥攻擊技能,崩擊,LV 1,5 MP,給防禦中的對象1.20倍傷害,
char,戰鬥攻擊技能,崩擊,LV 2,9 MP,給防禦中的對象1.43倍傷害,
char,戰鬥攻擊技能,崩擊,LV 3,13 MP,給防禦中的對象1.68倍傷害,
char,戰鬥攻擊技能,崩擊,LV 4,17 MP,給防禦中的對象1.95倍傷害,
char,戰鬥攻擊技能,崩擊,LV 5,21 MP,給防禦中的對象2.24倍傷害,
char,戰鬥攻擊技能,崩擊,LV 6,25 MP,給防禦中的對象2.55倍傷害,
char,戰鬥攻擊技能,崩擊,LV 7,29 MP,給防禦中的對象2.88倍傷害,
char,戰鬥攻擊技能,崩擊,LV 8,33 MP,給防禦中的對象3.23倍傷害,
char,戰鬥攻擊技能,崩擊,LV 9,37 MP,給防禦中的對象3.60倍傷害,
char,戰鬥攻擊技能,崩擊,LV 10,41 MP,給防禦中的對象3.99倍傷害,
char,戰鬥攻擊技能,崩擊,LV 11,45 MP,給防禦中的對象4.38倍傷害（推估）,
char,戰鬥攻擊技能,崩擊,LV 12,49 MP,給防禦中的對象4.77倍傷害（推估）,
char,戰鬥攻擊技能,亂射,LV 1,5 MP,3支攻擊，與同對象威力遞減,
char,戰鬥攻擊技能,亂射,LV 2,10 MP,4支攻擊，與同對象威力遞減,
char,戰鬥攻擊技能,亂射,LV 3,15 MP,5支攻擊，與同對象威力遞減,
char,戰鬥攻擊技能,亂射,LV 4,20 MP,6支攻擊，與同對象威力遞減,
char,戰鬥攻擊技能,亂射,LV 5,25 MP,7支攻擊，與同對象威力遞減,
char,戰鬥攻擊技能,亂射,LV 6,30 MP,8支攻擊，與同對象威力遞減,
char,戰鬥攻擊技能,亂射,LV 7,35 MP,9支攻擊，與同對象威力遞減,
char,戰鬥攻擊技能,亂射,LV 8,40 MP,10支攻擊，與同對象威力遞減,
char,戰鬥攻擊技能,亂射,LV 9,45 MP,11支攻擊，與同對象威力遞減,
char,戰鬥攻擊技能,亂射,LV 10,50 MP,12支攻擊，與同對象威力遞減,
char,戰鬥攻擊技能,亂射,LV 11,55 MP,13支攻擊，與同對象威力遞減（推估）,
char,戰鬥攻擊技能,亂射,LV 12,60 MP,14支攻擊，與同對象威力遞減（推估）,
char,戰鬥攻擊技能,氣功彈,LV 1,5 MP,對1~2個對象進行攻擊,
char,戰鬥攻擊技能,氣功彈,LV 2,10 MP,對2個對象進行攻擊,
