活動日期,公告日,活動／期別,合成公式,公告連結
2026-07-09～2026-07-23,2026-07-09,探索帕琪娜火山裂縫 揭開龍蝦太晶之謎,"任意等級的龍蝦霸王 ＋ 太晶之源碎片×500 ＋ 金幣100,000G ＝ / ├ 太晶龍蝦霸王召喚書（概率80%） / └ 太晶之源×1（概率20%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17504.html)
2026-07-09～2026-07-23,2026-07-09,探索帕琪娜火山裂縫 揭開龍蝦太晶之謎,"任意等級的沼澤龍蝦 ＋ 太晶之源碎片×500 ＋ 金幣100,000G ＝ / ├ 太晶 沼澤龍蝦 召喚書（概率80%） / └ 太晶之源×1（概率20%)",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17504.html)
2026-07-09～2026-07-23,2026-07-09,探索帕琪娜火山裂縫 揭開龍蝦太晶之謎,"任意等級的太晶龍蝦霸王 ＋ 太晶之源×10 ＋ 金幣100,000G ＝ / ├ 黑潮龍蝦召喚書（概率5%） / └ 太晶龍蝦霸王召喚書（概率95%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17504.html)
2026-07-09～2026-07-23,2026-07-09,探索帕琪娜火山裂縫 揭開龍蝦太晶之謎,"任意等級的太晶沼澤龍蝦 ＋ 太晶之源×10 ＋ 金幣100,000G ＝ / ├ 黑潮龍蝦召喚書（概率1%） / └ 太晶沼澤龍蝦 召喚書（概率99%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17504.html)
2026-07-07～2026-08-08,2026-07-07,湛藍的傳說 潮汐魟王降臨,Lv1的潮汐魟王 ＋ 潮汐王冠×1 ＝ Lv1的潮汐魟王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17454.html)
2026-07-07～2026-08-08,2026-07-07,湛藍的傳說 潮汐魟王降臨,Lv1的湛藍飛魟 ＋ 潮汐王冠×3 ＝ Lv1的潮汐魟王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17454.html)
2026-06-06～2026-07-07,2026-06-04,黑暗中的愛之極光 百合與白銀的永恆誓約,Lv1的百合騎士 ＋ 純白誓約之冕×3 ＝ Lv1的百合聖騎士,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17294.html)
2026-06-06～2026-07-07,2026-06-04,黑暗中的愛之極光 百合與白銀的永恆誓約,Lv1的白銀格鬥士 ＋ 純白誓約之冕×3 ＝ Lv1的白銀聖鬥士,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17294.html)
2026-06-06～2026-07-07,2026-06-04,黑暗中的愛之極光 百合與白銀的永恆誓約,Lv1的 百合聖騎士 ＋ 純白誓約之冕×1 ＝ Lv1的百合聖騎士,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17294.html)
2026-06-06～2026-07-07,2026-06-04,黑暗中的愛之極光 百合與白銀的永恆誓約,Lv1的 白銀聖鬥士 ＋ 純白誓約之冕×1 ＝ Lv1的白銀聖鬥士,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17294.html)
2026-05-28～2026-06-11,2026-05-27,五週年收官獻禮 訂製屬於你的心愛陪伴,"Lv1的神樂 ＋ 神樂之聖角×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的神樂 概率98% / └ Lv1的天叢雲神樂 概率2%",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17094.html)
2026-05-28～2026-06-11,2026-05-27,五週年收官獻禮 訂製屬於你的心愛陪伴,"Lv1的 天叢雲神樂 ＋ 神樂之聖角×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的 天叢雲神樂 概率70% / └ Lv1的御法神神樂 概率30%",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17094.html)
2026-05-14～2026-06-04,2026-05-13,五週年慶第三彈 黄金迷宫之雷影,"Lv1的影 ＋ 雷影之聖角×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的影 概率97% / ├ Lv1的御魂雷影 概率2% / └ Lv1的鬼泣雷影 概率1%",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17034.html)
2026-05-05～2026-06-06,2026-05-04,跨越凡塵的蛻變，凜冬巨龍破冰降世,Lv1的虛空魔龍 ＋ 凜冬之怒×1 ＝ Lv1的凜冬龍王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16934.html)
2026-05-05～2026-06-06,2026-05-04,跨越凡塵的蛻變，凜冬巨龍破冰降世,Lv1的凜冬巨龍 ＋ 凜冬之怒×3 ＝ Lv1的凜冬龍王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16934.html)
2026-04-30～2026-05-14,2026-04-29,《魔力寶貝：永恆初心》五週年慶溫情啟幕 御法劍仙「神樂」降臨,"Lv1的神樂 ＋ 神樂之聖角×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的神樂 概率98% / └ Lv1的天叢雲神樂 概率2%",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16894.html)
2026-04-30～2026-05-28（公告原文末年為 2025）,2026-04-29,《魔力寶貝：永恆初心》五週年慶溫情啟幕 御法劍仙「神樂」降臨,"任意等級的初心花妖 ＋ 永恆花仙進化券×1 ＋ 金幣100,000G ＝ Lv1永恆花仙",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16894.html)
2026-04-30～2026-05-28（公告原文末年為 2025）,2026-04-29,《魔力寶貝：永恆初心》五週年慶溫情啟幕 御法劍仙「神樂」降臨,"任意等級的初心花妖 ＋ 寶貝蛋糕進化券×1 ＋ 金幣100,000G ＝ Lv1寶貝蛋糕",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16894.html)
2026-04-09～2026-04-23,2026-04-09,神櫻綻放 春日女神限定召喚,"Lv1的櫻 ＋ 櫻 之聖角×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的 櫻 概率95% / └ Lv1的天叢雲 櫻 概率5%",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16794.html)
2026-04-04～2026-05-05,2026-04-01,聖光破曉 虛空之龍震撼來襲,Lv1的虛空魔龍 ＋ 虛空印記×1 ＝ Lv1的虛空魔龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16764.html)
2026-04-04～2026-05-05,2026-04-01,聖光破曉 虛空之龍震撼來襲,Lv1的梅莉珊卓 ＋ 虛空印記×3 ＝ Lv1的 虛空魔龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16764.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,任意等級的賽拉芬寶寶III ＋ 神祈之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100000G ＝ LV1的賽拉芬寶寶III 概率80% LV1的賽拉芬寶寶IV概率20%,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,任意等級的賽拉芬寶寶II ＋ 神祈之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100000G ＝ LV1的賽拉芬寶寶II 概率80% LV1的賽拉芬寶寶III概率20%,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,任意等級的賽拉芬寶寶I ＋ 神祈之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100000G ＝ LV1的賽拉芬寶寶I 概率80% LV1的賽拉芬寶寶II概率20%,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,任意等級的巴力寶寶III ＋ 黑暗之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100000G ＝ LV1的 巴力寶寶II I 概率80% LV1的 巴力寶寶 IV概率20%,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,任意等級的巴力寶寶II ＋ 黑暗之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100000G ＝ LV1的 巴力寶寶I I 概率80% LV1的 巴力寶寶I II概率20%,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,任意等級的巴力寶寶I ＋ 黑暗之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100000G ＝ LV1的 巴力寶寶 I 概率80% LV1的 巴力寶寶 II概率20%,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,任意等級的喵喵寶寶III ＋ 虛空之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100000G ＝ LV1的 喵喵寶寶II I 概率80% LV1的 喵喵寶寶 IV概率20%,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
